Sl. No,Name of District,Monsoon season recharge from rainfall,Monsoon season recharge from other sources,Non-monsoon season recharge from rainfall,Non-monsoon season recharge from other sources,Total annual groundwater recharge,Total Natural Discharges,Annual Extractable Groundwater Resource,Irrigation - Annual extraction,Industrial - Annual extraction,Domestic - Annual Extraction,Total Annual Extraction,Annual GW Allocation for domestic use (2025),Net GW availability for future,Stage of GW extraction (%)
1,Amritsar,29515.8,81945.51,5345.17,32121.57,148928.05,14892.8,134035.25,233296.81,398.12,6360,240054.9,6453.16,0,179.1
2,Barnala,12217.41,25792.04,1268.74,15836.24,55114.43,5511.44,49602.99,106690.63,43.94,2502.94,109237.5,2539.61,0,220.22
3,Bathinda,19385.22,68071.65,3376.47,38062.27,128895.61,11959.88,116935.73,129804.84,217.28,5829.6,135851.7,5915,14368.03,116.18
4,Faridkot,10967.74,42939.14,1224.4,19426.54,74557.82,7455.79,67102.03,96187.46,58.79,2594.08,98840.32,2632.09,0,147.3
5,Fatehgarh Sahib,14087.15,14779.76,1670.85,8248.94,38786.7,3605.52,35181.18,68841.35,1500.89,2517.72,72859.97,2554.59,0,207.1
6,Fazilka,7125.66,45265.25,918.47,23218.28,76527.66,7652.77,68874.89,48465.92,44.13,5044.29,53554.35,5118.19,30418.11,77.76
7,Firozpur,19238.34,87216.71,2576.72,42879.4,151911.17,15191.12,136720.05,183088.66,39.36,3463.31,186591.3,3514.05,229.32,136.48
8,Gurdaspur,35358.06,88947.85,6344.47,35539.47,166189.85,16480.41,149709.44,199684.85,59.39,7035.43,206779.7,7138.49,1915.31,138.12
9,Hoshiarpur,44796.07,21335.58,7725.46,10658.63,84515.74,8073.65,76442.09,79264.64,91.68,6643.76,86000.08,6741.1,11050.47,112.5
10,Jalandhar,28762.31,30618.08,4285.85,15483.1,79149.34,7914.95,71234.39,166646.11,870.91,13445.17,180962.2,13642.14,0,254.04
11,Kapurthala,18016.2,33863.85,2772.39,13878.42,68530.86,6853.09,61677.77,135983.37,98.61,3432.15,139514.1,3482.43,0,226.2
12,Ludhiana,37582.37,75106.08,5679.53,37499,155866.98,15586.68,140280.3,279969.95,7104.15,14938.81,302012.9,15157.64,0,215.29
13,Malerkotla,7710.33,8276.86,1054.35,4564.43,21605.97,2160.6,19445.37,56410.97,541.98,1988.26,58941.2,2017.39,0,303.11
14,Mansa,9225.24,38122.96,1171.86,21431.43,69951.49,6995.15,62956.34,75136.07,33.31,3227.06,78396.44,3274.33,6238.11,124.53
15,Moga,18490.45,45098.8,2427.44,18254.9,84271.59,8427.18,75844.41,174619.74,73.23,4136.68,178829.7,4197.28,0,235.78
16,Muktsar,3088.11,50594.15,550.32,33999.4,88231.98,8823.2,79408.78,15971.76,12.54,3789.09,19773.39,3844.59,59579.89,24.9
17,Pathankot,14265.3,19906.12,3572.63,10860.51,48604.56,4787.48,43817.08,18638.21,41.66,2831.82,21511.72,2873.3,22263.87,49.09
18,Patiala,39261.4,30226.92,5223.56,18720.88,93432.76,9343.28,84089.48,173819.31,677.87,7942.84,182440.1,8059.22,0,216.96
19,Rupnagar,19951.71,12184.73,3087.2,7885.52,43109.16,3948.14,39161.02,35687.76,112.12,2868.35,38668.25,2910.36,6775.79,98.74
20,SAS Nagar,13808.96,4579.72,2030.85,2732.17,23151.7,2315.18,20836.52,19831.39,2098.5,4139.34,26069.25,4199.99,1500.48,125.11
21,SBS Nagar,16098.09,27235.9,2216.48,9291.83,54842.3,4898.27,49944.03,57857.93,61.2,2578.78,60497.91,2616.56,2232.28,121.13
22,Sangrur,25256.5,28676.2,3091.36,12795.1,69819.16,6981.9,62837.26,189954.49,1541.62,4955.89,196452,5028.49,0,312.64
23,Tarn Taran,23147.5,28113.42,3901,12766.48,67928.4,6792.85,61135.55,123226.08,68.04,4701.52,127995.7,4770.39,0,209.36
,Total(Ham),467355.92,908897.28,71515.57,446154.51,1893923.28,186651.33,1707271.95 2669078.30,,15789.32,116966.9,2801835,118680.39,156571.66,164.11
,Total (Bcm),4.67,9.09,0.72,4.46,18.94,1.87,17.07,26.69,0.16,1.17,28.02,1.19,1.57,164.11
